replay,cell_id,mutant_id,stratum,intended_stage,bypassed_stage,outcome,destination,mutated_source_sha256
1,r1-G-PAR-03-bypass-mypy,G-PAR-03,primary,,mypy,controlled_rejection,pytest,4c755b8ffa0da0d3960c57af16d5b7c5ed91ce56ac9995779c0696e3c885449d
1,r1-G-PAR-03-bypass-pytest,G-PAR-03,primary,,pytest,accepted,accepted,4c755b8ffa0da0d3960c57af16d5b7c5ed91ce56ac9995779c0696e3c885449d
1,r1-G-PAR-04-bypass-none,G-PAR-04,primary,,none,controlled_rejection,mypy,cd6c3b51b2455af62259a4439b879b56f703d6f296939a27fb947b468a11946a
1,r1-G-PAR-04-bypass-ruff_format,G-PAR-04,primary,,ruff_format,controlled_rejection,mypy,cd6c3b51b2455af62259a4439b879b56f703d6f296939a27fb947b468a11946a
1,r1-G-PAR-04-bypass-ruff_lint,G-PAR-04,primary,,ruff_lint,controlled_rejection,mypy,cd6c3b51b2455af62259a4439b879b56f703d6f296939a27fb947b468a11946a
1,r1-G-PAR-04-bypass-mypy,G-PAR-04,primary,,mypy,controlled_rejection,pytest,cd6c3b51b2455af62259a4439b879b56f703d6f296939a27fb947b468a11946a
1,r1-G-PAR-04-bypass-pytest,G-PAR-04,primary,,pytest,controlled_rejection,mypy,cd6c3b51b2455af62259a4439b879b56f703d6f296939a27fb947b468a11946a
1,r1-G-ANN-01-bypass-none,G-ANN-01,primary,,none,controlled_rejection,mypy,1f9ba6b80b737b1af1f5e1ebd72306c590fa43eac086bfbd686555e804c36955
1,r1-G-ANN-01-bypass-ruff_format,G-ANN-01,primary,,ruff_format,controlled_rejection,mypy,1f9ba6b80b737b1af1f5e1ebd72306c590fa43eac086bfbd686555e804c36955
1,r1-G-ANN-01-bypass-ruff_lint,G-ANN-01,primary,,ruff_lint,controlled_rejection,mypy,1f9ba6b80b737b1af1f5e1ebd72306c590fa43eac086bfbd686555e804c36955
1,r1-G-ANN-01-bypass-mypy,G-ANN-01,primary,,mypy,accepted,accepted,1f9ba6b80b737b1af1f5e1ebd72306c590fa43eac086bfbd686555e804c36955
1,r1-G-ANN-01-bypass-pytest,G-ANN-01,primary,,pytest,controlled_rejection,mypy,1f9ba6b80b737b1af1f5e1ebd72306c590fa43eac086bfbd686555e804c36955
1,r1-G-ANN-02-bypass-none,G-ANN-02,primary,,none,controlled_rejection,mypy,2a5556f0cdd1cf3221a21a746627d284bbb3d51f49792d1a147ae8bb2da796d1
1,r1-G-ANN-02-bypass-ruff_format,G-ANN-02,primary,,ruff_format,controlled_rejection,mypy,2a5556f0cdd1cf3221a21a746627d284bbb3d51f49792d1a147ae8bb2da796d1
1,r1-G-ANN-02-bypass-ruff_lint,G-ANN-02,primary,,ruff_lint,controlled_rejection,mypy,2a5556f0cdd1cf3221a21a746627d284bbb3d51f49792d1a147ae8bb2da796d1
1,r1-G-ANN-02-bypass-mypy,G-ANN-02,primary,,mypy,accepted,accepted,2a5556f0cdd1cf3221a21a746627d284bbb3d51f49792d1a147ae8bb2da796d1
1,r1-G-ANN-02-bypass-pytest,G-ANN-02,primary,,pytest,controlled_rejection,mypy,2a5556f0cdd1cf3221a21a746627d284bbb3d51f49792d1a147ae8bb2da796d1
1,r1-G-ANN-03-bypass-none,G-ANN-03,primary,,none,controlled_rejection,mypy,0e55ea8b8a131286eff04f7cbe2db3beb13afb10a8593e1662b22c8d148461a3
1,r1-G-ANN-03-bypass-ruff_format,G-ANN-03,primary,,ruff_format,controlled_rejection,mypy,0e55ea8b8a131286eff04f7cbe2db3beb13afb10a8593e1662b22c8d148461a3
1,r1-G-ANN-03-bypass-ruff_lint,G-ANN-03,primary,,ruff_lint,controlled_rejection,mypy,0e55ea8b8a131286eff04f7cbe2db3beb13afb10a8593e1662b22c8d148461a3
1,r1-G-ANN-03-bypass-mypy,G-ANN-03,primary,,mypy,accepted,accepted,0e55ea8b8a131286eff04f7cbe2db3beb13afb10a8593e1662b22c8d148461a3
1,r1-G-ANN-03-bypass-pytest,G-ANN-03,primary,,pytest,controlled_rejection,mypy,0e55ea8b8a131286eff04f7cbe2db3beb13afb10a8593e1662b22c8d148461a3
1,r1-G-ANN-04-bypass-none,G-ANN-04,primary,,none,controlled_rejection,mypy,273e2390fe61b0144745d2fd0700c71e3fa3f0565c1ed45da14b4ee44e1a0173
1,r1-G-ANN-04-bypass-ruff_format,G-ANN-04,primary,,ruff_format,controlled_rejection,mypy,273e2390fe61b0144745d2fd0700c71e3fa3f0565c1ed45da14b4ee44e1a0173
1,r1-G-ANN-04-bypass-ruff_lint,G-ANN-04,primary,,ruff_lint,controlled_rejection,mypy,273e2390fe61b0144745d2fd0700c71e3fa3f0565c1ed45da14b4ee44e1a0173
1,r1-G-ANN-04-bypass-mypy,G-ANN-04,primary,,mypy,accepted,accepted,273e2390fe61b0144745d2fd0700c71e3fa3f0565c1ed45da14b4ee44e1a0173
1,r1-G-ANN-04-bypass-pytest,G-ANN-04,primary,,pytest,controlled_rejection,mypy,273e2390fe61b0144745d2fd0700c71e3fa3f0565c1ed45da14b4ee44e1a0173
1,r1-G-PRE-01-bypass-none,G-PRE-01,primary,,none,accepted,accepted,7ea3e0519878e25318a771313b25afadfd45ae40ffab48540afb127a30a98420
1,r1-G-PRE-01-bypass-ruff_format,G-PRE-01,primary,,ruff_format,accepted,accepted,7ea3e0519878e25318a771313b25afadfd45ae40ffab48540afb127a30a98420
1,r1-G-PRE-01-bypass-ruff_lint,G-PRE-01,primary,,ruff_lint,accepted,accepted,7ea3e0519878e25318a771313b25afadfd45ae40ffab48540afb127a30a98420
1,r1-G-PRE-01-bypass-mypy,G-PRE-01,primary,,mypy,accepted,accepted,7ea3e0519878e25318a771313b25afadfd45ae40ffab48540afb127a30a98420
1,r1-G-PRE-01-bypass-pytest,G-PRE-01,primary,,pytest,accepted,accepted,7ea3e0519878e25318a771313b25afadfd45ae40ffab48540afb127a30a98420
1,r1-G-PRE-02-bypass-none,G-PRE-02,primary,,none,accepted,accepted,13c74807761c19c0ca05b80016431c0c71f85a02bec699f9ab638ecb42edf01a
1,r1-G-PRE-02-bypass-ruff_format,G-PRE-02,primary,,ruff_format,accepted,accepted,13c74807761c19c0ca05b80016431c0c71f85a02bec699f9ab638ecb42edf01a
1,r1-G-PRE-02-bypass-ruff_lint,G-PRE-02,primary,,ruff_lint,accepted,accepted,13c74807761c19c0ca05b80016431c0c71f85a02bec699f9ab638ecb42edf01a
1,r1-G-PRE-02-bypass-mypy,G-PRE-02,primary,,mypy,accepted,accepted,13c74807761c19c0ca05b80016431c0c71f85a02bec699f9ab638ecb42edf01a
1,r1-G-PRE-02-bypass-pytest,G-PRE-02,primary,,pytest,accepted,accepted,13c74807761c19c0ca05b80016431c0c71f85a02bec699f9ab638ecb42edf01a
1,r1-G-PRE-03-bypass-none,G-PRE-03,primary,,none,accepted,accepted,7083660a2436aec3a566226daeae45fa0ffb15205168b2cb553016e77deda0fe
1,r1-G-PRE-03-bypass-ruff_format,G-PRE-03,primary,,ruff_format,accepted,accepted,7083660a2436aec3a566226daeae45fa0ffb15205168b2cb553016e77deda0fe
1,r1-G-PRE-03-bypass-ruff_lint,G-PRE-03,primary,,ruff_lint,accepted,accepted,7083660a2436aec3a566226daeae45fa0ffb15205168b2cb553016e77deda0fe
1,r1-G-PRE-03-bypass-mypy,G-PRE-03,primary,,mypy,accepted,accepted,7083660a2436aec3a566226daeae45fa0ffb15205168b2cb553016e77deda0fe
1,r1-G-PRE-03-bypass-pytest,G-PRE-03,primary,,pytest,accepted,accepted,7083660a2436aec3a566226daeae45fa0ffb15205168b2cb553016e77deda0fe
1,r1-G-PRE-04-bypass-none,G-PRE-04,primary,,none,controlled_rejection,pytest,62ff03831d428ab50978f30decb37f21b2dd1b003316fb5b277a37e9f0204390
1,r1-G-PRE-04-bypass-ruff_format,G-PRE-04,primary,,ruff_format,controlled_rejection,pytest,62ff03831d428ab50978f30decb37f21b2dd1b003316fb5b277a37e9f0204390
1,r1-G-PRE-04-bypass-ruff_lint,G-PRE-04,primary,,ruff_lint,controlled_rejection,pytest,62ff03831d428ab50978f30decb37f21b2dd1b003316fb5b277a37e9f0204390
1,r1-G-PRE-04-bypass-mypy,G-PRE-04,primary,,mypy,controlled_rejection,pytest,62ff03831d428ab50978f30decb37f21b2dd1b003316fb5b277a37e9f0204390
1,r1-G-PRE-04-bypass-pytest,G-PRE-04,primary,,pytest,accepted,accepted,62ff03831d428ab50978f30decb37f21b2dd1b003316fb5b277a37e9f0204390
1,r1-G-PRE-05-bypass-none,G-PRE-05,primary,,none,controlled_rejection,pytest,c7469f3b6c7a47c1e2f1db47c037a5c41d11899a6c54750036672d63d2eab7f1
1,r1-G-PRE-05-bypass-ruff_format,G-PRE-05,primary,,ruff_format,controlled_rejection,pytest,c7469f3b6c7a47c1e2f1db47c037a5c41d11899a6c54750036672d63d2eab7f1
1,r1-G-PRE-05-bypass-ruff_lint,G-PRE-05,primary,,ruff_lint,controlled_rejection,pytest,c7469f3b6c7a47c1e2f1db47c037a5c41d11899a6c54750036672d63d2eab7f1
1,r1-G-PRE-05-bypass-mypy,G-PRE-05,primary,,mypy,controlled_rejection,pytest,c7469f3b6c7a47c1e2f1db47c037a5c41d11899a6c54750036672d63d2eab7f1
