removed_stage,variant_id,operator_family,source_stratum,baseline_first_destination,outcome_without_stage,fate
schema_validation,V0118,F2,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0119,F2,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0117,F2,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0120,F2,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0116,F2,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0115,F2,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0112,F2,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0111,F2,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0114,F2,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0113,F2,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0103,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0085,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0072,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0079,F2,fuzz,escape,escape,baseline_escape
schema_validation,V0080,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0104,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0073,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0093,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0074,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0086,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0094,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0095,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0105,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0087,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0081,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0106,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0088,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0089,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0099,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0096,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0100,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0107,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0075,F2,fuzz,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0076,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0097,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0082,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0090,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0083,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0098,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0091,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0077,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0108,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0092,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0084,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0078,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0101,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0102,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0121,F3,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0122,F3,directed,single_artifact_validator,single_artifact_validator,other_stage_first_hit
schema_validation,V0123,F3,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0180,F3,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0127,F3,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0126,F3,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0125,F3,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0124,F3,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0173,F3,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0172,F3,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0171,F3,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0175,F3,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0174,F3,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0170,F3,directed,single_artifact_validator,single_artifact_validator,other_stage_first_hit
schema_validation,V0179,F3,directed,orchestrator_revalidation,orchestrator_revalidation,other_stage_first_hit
schema_validation,V0178,F3,directed,orchestrator_revalidation,orchestrator_revalidation,other_stage_first_hit
schema_validation,V0177,F3,directed,orchestrator_revalidation,orchestrator_revalidation,other_stage_first_hit
schema_validation,V0176,F3,directed,orchestrator_revalidation,orchestrator_revalidation,other_stage_first_hit
schema_validation,V0160,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0146,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0137,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0128,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0147,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0161,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0152,F3,fuzz,escape,escape,baseline_escape
schema_validation,V0162,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0163,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0129,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0130,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0131,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0164,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0148,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0132,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0138,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0149,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0133,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0139,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0134,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0135,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0140,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0141,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0142,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0143,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0165,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0144,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0155,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0156,F3,fuzz,schema_validation,downstream_crash,downstream_crash
schema_validation,V0153,F3,fuzz,escape,escape,baseline_escape
schema_validation,V0150,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0157,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0166,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0167,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0168,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0158,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0145,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0136,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0169,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0154,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0159,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0151,F3,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0239,F4,directed,cross_artifact_preflight,cross_artifact_preflight,other_stage_first_hit
schema_validation,V0238,F4,directed,cross_artifact_preflight,cross_artifact_preflight,other_stage_first_hit
schema_validation,V0230,F4,directed,single_artifact_validator,single_artifact_validator,other_stage_first_hit
schema_validation,V0228,F4,directed,single_artifact_validator,single_artifact_validator,other_stage_first_hit
schema_validation,V0229,F4,directed,cross_artifact_preflight,cross_artifact_preflight,other_stage_first_hit
schema_validation,V0232,F4,directed,single_artifact_validator,single_artifact_validator,other_stage_first_hit
schema_validation,V0231,F4,directed,single_artifact_validator,single_artifact_validator,other_stage_first_hit
schema_validation,V0235,F4,directed,cross_artifact_preflight,cross_artifact_preflight,other_stage_first_hit
schema_validation,V0226,F4,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0237,F4,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0234,F4,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0233,F4,directed,single_artifact_validator,single_artifact_validator,other_stage_first_hit
schema_validation,V0225,F4,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0240,F4,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0236,F4,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0227,F4,directed,single_artifact_validator,single_artifact_validator,other_stage_first_hit
schema_validation,V0205,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0206,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0207,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0181,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0182,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0200,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0201,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0208,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0214,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0183,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0202,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0215,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0216,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0203,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0189,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0184,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0185,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0217,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0195,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0190,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
